"Provider Number","Hospital Name","Address1","Address2","Address3","City","State","ZIP Code","County Name","Phone Number","Hospital Type","Hospital Ownership","Emergency Service","GeoProviderId","Lat","Lon"
"150022","ST CLARE MEDICAL CENTER","1710 LAFAYETTE ROAD","","","CRAWFORDSVILLE","IN","47933","MONTGOMERY","7653622800","Acute Care Hospitals","Voluntary non-profit - Church","Yes","150022","40.0646302","-86.9081211"
"150023","UNION HOSPITAL INC","1606 N SEVENTH ST","","","TERRE HAUTE","IN","47804","VIGO","8122387601","Acute Care Hospitals","Voluntary non-profit - Other","Yes","150023","39.4851826","-87.4089324"
"150024","WILLIAM N WISHARD MEMORIAL HOSPITAL","1001 W 10TH ST","","","INDIANAPOLIS","IN","46202","MARION","3176307592","Acute Care Hospitals","Government - Local","Yes","150024","39.7808471","-86.1759911"
"150026","IU HEALTH GOSHEN HOSPITAL","200 HIGH PARK AVE","","","GOSHEN","IN","46526","ELKHART","5745332141","Acute Care Hospitals","Voluntary non-profit - Other","Yes","150026","41.56341","-85.830526"
"150030","HENRY COUNTY MEMORIAL HOSPITAL","1000 N 16TH ST","","","NEW CASTLE","IN","47362","HENRY","7655210890","Acute Care Hospitals","Government - Local","Yes","150030","39.9410294","-85.3650176"
"150033","ST FRANCIS HOSPITAL AND HEALTH CENTERS","1600 ALBANY STREET","","","BEECH GROVE","IN","46107","MARION","3177838133","Acute Care Hospitals","Voluntary non-profit - Church","Yes","150033","39.724316","-86.100551"
"150034","ST MARY MEDICAL CENTER INC","1500 S LAKE PARK AVENUE","","","HOBART","IN","46342","LAKE","2199420551","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150034","41.512996","-87.258922"
"150035","PORTER VALPARAISO HOSPITAL","814 LAPORTE AVENUE","","","VALPARAISO","IN","46383","PORTER","2192634600","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150035","41.4672562","-87.0513048"
"150037","HANCOCK REGIONAL HOSPITAL","801 N STATE STREET","","","GREENFIELD","IN","46140","HANCOCK","3174684412","Acute Care Hospitals","Government - Local","Yes","150037","39.7937398","-85.7695536"
"150038","MORGAN HOSPITAL AND MEDICAL CENTER","2209 JOHN R WOODEN DRIVE","","","MARTINSVILLE","IN","46151","MORGAN","7653496500","Acute Care Hospitals","Government - Local","Yes","150038","39.4271589","-86.405999"
"15003F","INDIANAPOLIS VA MEDICAL CENTER","1481 W. TENTH STREET","","","INDIANAPOLIS                  ","IN","46202","MARION","3175540000","ACUTE CARE - VETERANS ADMINISTRATION","Government Federal","NO","15003F","39.777862","-86.186982"
"150042","GOOD SAMARITAN HOSPITAL","520 S 7TH STREET","","","VINCENNES","IN","47591","KNOX","8128825220","Acute Care Hospitals","Government - Local","Yes","150042","38.672928","-87.5326879"
"150044","FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","1850 STATE STREET","","","NEW ALBANY","IN","47150","FLOYD","8129495500","Acute Care Hospitals","Government - Local","Yes","150044","38.3006531","-85.8352137"
"150045","DEKALB MEMORIAL HOSPITAL INC","1316 E SEVENTH STREET","","","AUBURN","IN","46706","DE KALB","2609254600","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150045","41.36769","-85.0350377"
"150046","TERRE HAUTE REGIONAL HOSPITAL","3901 S SEVENTH ST","","","TERRE HAUTE","IN","47802","VIGO","8122320021","Acute Care Hospitals","Proprietary","Yes","150046","39.4196353","-87.4068669"
"150047","ST JOSEPH HOSPITAL","700 BROADWAY","","","FORT WAYNE","IN","46802","ALLEN","2604253000","Acute Care Hospitals","Proprietary","Yes","150047","41.0784516","-85.1489484"
"150048","REID HOSPITAL & HEALTH CARE SERVICES","1100 REID PARKWAY","","","RICHMOND","IN","47374","WAYNE","7659833000","Acute Care Hospitals","Voluntary non-profit - Other","Yes","150048","39.8640506","-84.8841271"
"15004F","VA N. INDIANA HEALTHCARE SYSTEM - MARION","1700 E. 38TH STREET","","","MARION                        ","IN","46953","GRANT","7656743321","ACUTE CARE - VETERANS ADMINISTRATION","Government Federal","NO","15004F","40.520026","-85.637496"
"150051","BLOOMINGTON HOSPITAL","601 W SECOND STREET","","","BLOOMINGTON","IN","47403","MONROE","8123539555","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150051","39.1613682","-86.5392772"
"150056","INDIANA UNIVERSITY HEALTH","1701 N SENATE BLVD","","","INDIANAPOLIS","IN","46206","MARION","3179625900","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150056","39.7887325","-86.1627388"
"150057","ST FRANCIS HOSPITAL MOORESVILLE","1201 HADLEY ROAD","","","MOORESVILLE","IN","46158","MORGAN","3178311160","Acute Care Hospitals","Voluntary non-profit - Church","No","150057","39.607831","-86.35573"
"150058","MEMORIAL HOSPITAL OF SOUTH BEND","615 N MICHIGAN STREET","","","SOUTH BEND","IN","46601","ST JOSEPH","5746473632","Acute Care Hospitals","Voluntary non-profit - Other","Yes","150058","41.684238","-86.2506176"
"150059","RIVERVIEW HOSPITAL","395 WESTFIELD RD","","","NOBLESVILLE","IN","46060","HAMILTON","3177767108","Acute Care Hospitals","Government - Local","Yes","150059","40.0470121","-86.0229797"
"150061","DAVIESS COMMUNITY HOSPITAL","1314 E WALNUT ST","","","WASHINGTON","IN","47501","DAVIESS","8122542760","Acute Care Hospitals","Government - Local","Yes","150061","38.6586958","-87.1603192"
"150064","FAYETTE REGIONAL HEALTH SYSTEM","1941 VIRGINIA AVE","","","CONNERSVILLE","IN","47331","FAYETTE","7658255131","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150064","39.6562569","-85.132653"
"150065","SCHNECK MEDICAL CENTER","411 W TIPTON STREET","","","SEYMOUR","IN","47274","JACKSON","8125222349","Acute Care Hospitals","Government - Local","Yes","150065","38.955423","-85.892232"
"150069","KING'S DAUGHTERS' HOSPITAL AND HEALTH SERVICESTHE","ONE KINGS DAUGHTERS DRIVE","","","MADISON","IN","47250","JEFFERSON","8122655211","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150069","38.738579","-85.381364"
"150072","MEMORIAL HOSPITAL","1101 MICHIGAN AVE","","","LOGANSPORT","IN","46947","CASS","5747537541","Acute Care Hospitals","Government - Federal","Yes","150072","40.763244","-86.361619"
"150074","COMMUNITY HOSPITAL EAST","1500 N RITTER AVE","","","INDIANAPOLIS","IN","46219","MARION","3173555411","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150074","39.787044","-86.076738"
"150075","BLUFFTON REGIONAL MEDICAL CENTER","303 S MAIN ST","","","BLUFFTON","IN","46714","WELLS","2608243210","Acute Care Hospitals","Proprietary","Yes","150075","40.7375395","-85.1714069"
"150076","SAINT JOSEPH'S REGIONAL MEDICAL CENTER - PLYMOUTH","1915 LAKE AVENUE","","","PLYMOUTH","IN","46563","MARSHALL","5749363181","Acute Care Hospitals","Voluntary non-profit - Church","No","150076","41.332982","-86.333356"
"150082","DEACONESS HOSPITAL INC","600 MARY ST","","","EVANSVILLE","IN","47747","VANDERBURGH","8124502252","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150082","37.98293","-87.5707153"
"150084","ST VINCENT HOSPITAL & HEALTH SERVICES","2001 W 86TH STREET","","","INDIANAPOLIS","IN","46260","MARION","3173387000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","150084","39.908727","-86.1970319"
"150086","DEARBORN COUNTY HOSPITAL","600 WILSON CREEK RD","","","LAWRENCEBURG","IN","47025","DEARBORN","8125371010","Acute Care Hospitals","Government - Local","Yes","150086","39.1106173","-84.8851697"
"150088","SAINT JOHN'S HEALTH SYSTEM","2015 JACKSON ST","","","ANDERSON","IN","46016","MADISON","7656492511","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150088","40.0962249","-85.6804817"
"150089","BALL MEMORIAL HOSPITAL INC","2401 UNIVERSITY AVENUE","","","MUNCIE","IN","47303","DELAWARE","7657473111","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150089","40.196656","-85.414108"
"150090","FRANCISCAN ST MARGARET HEALTH - DYER","24 JOLIET STREET","","","DYER","IN","46311","LAKE","2198652141","Acute Care Hospitals","Voluntary non-profit - Church","Yes","150090","41.492224","-87.524288"
"150091","PARKVIEW HUNTINGTON HOSPITAL","2001 STULTS RD","","","HUNTINGTON","IN","46750","HUNTINGTON","2603553000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150091","40.904909","-85.488213"
"150097","MAJOR HOSPITAL","150 W WASHINGTON ST","","","SHELBYVILLE","IN","46176","SHELBY","3173923211","Acute Care Hospitals","Government - Local","Yes","150097","39.52494","-85.781127"
"150100","ST MARY'S MEDICAL CENTER OF EVANSVILLE INC","3700 WASHINGTON AVENUE","","","EVANSVILLE","IN","47750","VANDERBURGH","8124854000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150100","37.962775","-87.504902"
"150101","PARKVIEW WHITLEY HOSPITAL","353 N OAK ST","","","COLUMBIA CITY","IN","46725","WHITLEY","2602489301","Acute Care Hospitals","Voluntary non-profit - Private","Yes","150101","41.1625556","-85.4956711"
"150102","STARKE MEMORIAL HOSPITAL","102 E CULVER ROAD","","","KNOX","IN","46534","STARKE","5747721100","Acute Care Hospitals","Proprietary","Yes","150102","41.2880764","-86.6218812"
"150104","WITHAM HEALTH SERVICES","2605 N LEBANON STT","","","LEBANON","IN","46052","BOONE","7654858000","Acute Care Hospitals","Government - Local","Yes","150104","40.0738801","-86.4744797"
"150109","ST ELIZABETH EAST","1701 S CREASY LN","","","LAFAYETTE","IN","47905","TIPPECANOE","7655024000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","150109","40.3942403","-86.8351565"
"150112","COLUMBUS REGIONAL HOSPITAL","2400 E 17TH STREET","","","COLUMBUS","IN","47201","BARTHOLOMEW","8123794441","Acute Care Hospitals","Government - Local","Yes","150112","39.2158411","-85.8968283"
"150113","COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY","1515 N MADISON AVE","","","ANDERSON","IN","46011","MADISON","7652984242","Acute Care Hospitals","Voluntary non-profit - Other","Yes","150113","40.1299778","-85.6917109"
