PROVNUM,FACNAME,PHYADDR1,PHYADDR2,PHYCITY,PHYSTATE,PHYZIP,PHONENUM,OWNTYPE,In-center Hemo,in-center PD,ref_id,Lat,Lon
12500,FMC CAPITOL CITY,255 S JACKSON STREET,,MONTGOMERY,AL,36104,3342631028,Profit,Y,Y,12500,32.374038,-86.295957
12501,GADSDEN DIALYSIS,409 SOUTH FIRST STREET,,GADSDEN,AL,35901,2565472457,Profit,Y,N,12501,34.006474,-86.003297
12502,TUSCALOOSA UNIVERSITY DIALYSIS,220 15TH STREET,,TUSCALOOSA,AL,35401,2053456004,Profit,Y,Y,12502,33.199245,-87.5380239
12505,PCD MONTGOMERY,1001 FOREST AVENUE,,MONTGOMERY,AL,36106,3342699416,Profit,Y,Y,12505,32.369326,-86.285965
12506,DOTHAN DIALYSIS,216 GRACELAND DR.,,DOTHAN,AL,36305,3347934077,Profit,Y,Y,12506,31.231877,-85.452374
12507,FMC MOBILE,2620 OLD SHELL RD,,MOBILE,AL,36607,2514762762,Profit,Y,N,12507,30.692548,-88.102467
12508,BIRMINGHAM EAST DIALYSIS,1105 EAST PARK DRIVE,,BIRMINGHAM,AL,35235,2058336003,Profit,Y,N,12508,33.587499,-86.680471
12509,FMC NORTH ALABAMA,1311 N MEMORIAL PKWY #200,,HUNTSVILLE,AL,35801,2565368571,Profit,Y,Y,12509,0,0
12512,FMC SELMA,905 MEDICAL CENTER PARKWAY,,SELMA,AL,36701,3348749021,Profit,Y,N,12512,32.4275,-87.0528
12513,FMC LANGDALE,8 MEDICAL PARK,,VALLEY,AL,36854,3347564192,Profit,Y,N,12513,32.8258101,-85.1695139
12515,FMC OPELIKA,2609 VILLAGE PROFESSIONAL DR,STE 2,OPELIKA,AL,36801,3347495085,Profit,Y,Y,12515,32.6446254,-85.4131678
12516,DSI NORWOOD,1424 NORTH CARRAWAY BLVD,,BIRMINGHAM,AL,35234,2055025300,Profit,Y,Y,12516,33.5337938,-86.8079195
12517,ATHENS DIALYSIS,15953 ATHENS LIMESTONE DRIVE,,ATHENS,AL,35613,2562334730,Profit,Y,N,12517,34.7851609,-86.9417179
12519,FMC SCOTTSBORO,20998 JOHN T. REID HWY,,SCOTTSBORO,AL,35768,2562594777,Profit,Y,N,12519,34.6723069,-86.0341463
12520,FMC TROY,606 BOTTS AVE,,TROY,AL,36081,3345667266,Profit,Y,N,12520,31.784436,-85.9473479
12521,DCI DOTHAN,1757 EAST MAIN STREET,,DOTHAN,AL,36301,3347933519,Non-Profit,Y,Y,12521,31.219431,-85.365071
12522,FMC HUNTSVILLE,2325 PANSY STREET,SUITE C,HUNTSVILLE,AL,35801,2565361881,Profit,Y,N,12522,34.7145802,-86.5773319
12523,PHENIX CITY DIALYSIS,1900 OPELIKA ROAD,,PHENIX CITY,AL,36867,3342981941,Profit,Y,Y,12523,32.4785984,-85.0268011
12524,FMC EAST MOBILE,1217 GOVERNMENT ST,,MOBILE,AL,36604,2514386917,Profit,Y,Y,12524,30.682343,-88.064597
12525,FMC WEST MOBILE,6601 WALL STREET,SUITE A,MOBILE,AL,36695,2516332681,Profit,Y,N,12525,30.670121,-88.195102
12526,RCG PRINCETON,708 COTTON AVE SW,,BIRMINGHAM,AL,35211,2057853500,Profit,Y,Y,12526,33.4978409,-86.8433288
12527,DCI ENTERPRISE,3861 SALEM ROAD,,ENTERPRISE,AL,36330,3343478233,Non-Profit,Y,Y,12527,31.3605793,-85.8692607
12528,FMC CAHABA VALLEY,120 CAHABA VALLEY PARKWAY,SUITE 150,PELHAM,AL,35124,2059880469,Profit,Y,N,12528,33.3400704,-86.78922
12529,FLORENCE DIALYSIS,422 EAST DR. HICKS BLVD,,FLORENCE,AL,35630,2567645050,Profit,Y,Y,12529,34.7993312,-87.6698508
12530,RAI EAST 11TH ST ANNISTON,522 EAST 11TH STREET,1ST FLOOR,ANNISTON,AL,36207,2562377566,Profit,Y,N,12530,33.6584667,-85.8216663
12531,FMC JACKSON (TOMBIGBEE),215 WALKER SPRINGS RD,,JACKSON,AL,36545,2512466667,Profit,Y,N,12531,31.5575392,-87.8748274
12532,DCI EUFAULA,123 A EAST BARBOUR STREET,,EUFAULA,AL,36027,3346877071,Non-Profit,Y,N,12532,0,0
12533,DSI-WALKER COUNTY DIALYSIS,589 HIGHWAY 78 WEST,,JASPER,AL,35501,2052211064,Profit,Y,Y,12533,0,0
12534,BESSEMER KIDNEY CENTER,975 9TH AVE SW,SUITE 500,BESSEMER,AL,35022,2054243757,Profit,Y,N,12534,33.3737148,-86.9911554
12535,PCD PRATTVILLE,1815 GLYNWOOD DRIVE,,PRATTVILLE,AL,36066,3343610010,Profit,Y,N,12535,32.4615859,-86.422053
12536,FMC MONTCLAIR,3918 MONTCLAIR RD,SUITE 110,BIRMINGHAM,AL,35213,2058710999,Profit,Y,N,12536,33.507213,-86.760713
12537,FMC PRICHARD,4016 HWY 45,,WHISTLER,AL,36613,2513301623,Profit,Y,N,12537,30.764272,-88.127416
12538,RCG ANDALUSIA,403 WEST BYPASS,,ANDALUSIA,AL,36420,3342220416,Profit,Y,N,12538,31.318633,-86.4567315
12539,PCD TALLADEGA (RCG),805 NORTH STREET EAST,,TALLADEGA,AL,35160,2563623457,Profit,Y,N,12539,33.4247792,-86.1006659
12540,FMC MONROEVILLE (WHETSTONE),676 S ALABAMA AVE,,MONROEVILLE,AL,36460,2515753452,Profit,Y,N,12540,31.5182066,-87.3226441
12541,FMC DADEVILLE,52 WATERWORKS RD,,DADEVILLE,AL,36853,2568252740,Profit,Y,N,12541,32.8369058,-85.7683658
12542,RAINBOW CITY DIALYSIS,2800 RAINBOW DRIVE,,RAINBOW CITY,AL,35906,2564133245,Profit,Y,Y,12542,33.964856,-86.027199
12543,DEMOPOLIS DIALYSIS,511 S CEDAR STREET,,DEMOPOLIS,AL,36732,3342899700,Profit,Y,Y,12543,32.5142931,-87.8351897
12544,OZARK DIALYSIS,214 HOSPITAL AVENUE,,OZARK,AL,36360,3347742630,Profit,Y,N,12544,31.4505345,-85.6309981
12545,TUSCALOOSA DIALYSIS,805 OLD MILL STREET,,TUSCALOOSA,AL,35401,2057526363,Profit,Y,N,12545,33.1786249,-87.5479469
12546,FMC TUSKEGEE,802 E. MARTIN LUTHER KING HWY,,TUSKEGEE,AL,36083,3347279447,Profit,Y,N,12546,32.428006,-85.682008
12547,FMC EASTERN SHORE,124 PROFESSIONAL PARK DR,,FAIRHOPE,AL,36532,2519287835,Profit,Y,Y,12547,30.5168174,-87.8846145
12548,FAYETTE DIALYSIS,2450 TEMPLE AVE N,,FAYETTE,AL,35555,2059328500,Profit,Y,N,12548,33.7224563,-87.8159226
12549,DIALYSIS AFFILIATES OF SOUTH ALABAMA,1205 BELLEVILLE AVE.,,BREWTON,AL,36426,2518673650,Profit,Y,N,12549,31.1249305,-87.0712756
12550,GREENE COUNTY DIALYSIS,544 HIGHWAY 43,,EUTAW,AL,35462,2053724000,Profit,Y,N,12550,32.8405168,-87.8816722
12551,SHEFFIELD DIALYSIS,1120 S JACKSON HWY STE 107,,SHEFFIELD,AL,35660,2563818004,Profit,Y,N,12551,34.746895,-87.7020096
12552,FMC TOULMINVILLE,2056 DR. MARTIN LUTHER KING JR. AVE.,,MOBILE,AL,36617,2514764143,Profit,Y,N,12552,30.714734,-88.0799679
12553,PCD ELMORE COUNTY,515 HOSPITAL DRIVE,,WETUMPKA,AL,36092,3345141578,Profit,Y,N,12553,32.5512785,-86.1897556
12556,RCG PELL CITY,2804 DR. JOHN HAYNES DRIVE,,PELL CITY,AL,35125,2058847414,Profit,Y,N,12556,33.603889,-86.276916
12557,PCD EAST MONTGOMERY,6890 WINTON BLOUNT BLVD,,MONTGOMERY,AL,36117,3342600671,Profit,Y,N,12557,32.377628,-86.175557
12558,DCI DECATUR,1601 6TH AVENUE SOUTH EAST,,DECATUR,AL,35601,2563508882,Non-Profit,Y,N,12558,34.5827528,-86.9802682
12559,FMC UNIVERSITY SOUTH ALABAMA,1925 HEALTH SERVICES DRIVE,,MOBILE,AL,36688,2514606797,Profit,Y,Y,12559,30.702893,-88.178713
12560,FMC HAMILTON,1256 MILITARY STREET SOUTH,,HAMILTON,AL,35570,2059216231,Profit,Y,N,12560,34.126815,-87.990457
12561,FMC LAKEVIEW,"45 MEDICAL PARK DR., STE A",,GUNTERSVILLE,AL,35976,2567530112,Profit,Y,N,12561,34.363787,-86.4211616
12562,DCI PELL CITY,2805 DR JOHN HAYNES DR,,PELL CITY,AL,35125,2058844240,Non-Profit,Y,N,12562,33.6043617,-86.2769263
12563,DCI CULLMAN,1734 EVA ROAD NE,,CULLMAN,AL,35055,2567343055,Non-Profit,Y,N,12563,34.19565,-86.831856
12565,SOUTH BALDWIN DIALYSIS CENTER,150 W PEACHTREE AVE,,FOLEY,AL,36535,2519434155,Profit,Y,N,12565,30.4288028,-87.6854927
12566,FMC SYLACAUGA,314 WEST SPRING STREET,,SYLACAUGA,AL,35150,2562499660,Profit,Y,N,12566,33.1658129,-86.2547657
12568,FMC PARKWAY,1311 N MEMORIAL PKWY STE 100,,HUNTSVILLE,AL,35801,2565365563,Profit,Y,N,12568,34.7285921,-86.5963594
12570,NORTHPORT DIALYSIS,2401 HOSPITAL DRIVE,,NORTHPORT,AL,35476,2053398882,Profit,Y,N,12570,33.231619,-87.569211
12571,DCI GEORGIANA,P O BOX 618,,GEORGIANA,AL,36033,3343760277,Non-Profit,Y,N,12571,31.6371028,-86.7419175
12572,FMC CAMELLIA,108 L. V. STABLER DRIVE,,GREENVILLE,AL,36037,3343825052,Profit,Y,N,12572,31.8302527,-86.6464062
12573,DCI BIRMINGHAM,8713 PARKWAY EAST,,BIRMINGHAM,AL,35206,2058385400,Non-Profit,Y,Y,12573,33.577219,-86.7170453
12574,FMC CHAMBERS,802 HOSPITAL STREET,,LAFAYETTE,AL,36862,3348649914,Profit,Y,N,12574,32.8847694,-85.4123675
12575,FMC WALKER,3510 3RD STREET NORTH,,JASPER,AL,35504,2052218775,Profit,Y,N,12575,33.8441967,-87.2372389
12576,DCI MONTGOMERY,544 SOUTH MCDONOUGH STREET,,MONTGOMERY,AL,36104,3342659190,Non-Profit,Y,Y,12576,32.370824,-86.305223
12578,FMC SOUTHSIDE,2131 MAGNOLIA AVE SOUTH #100,,BIRMINGHAM,AL,35205,2053224382,Profit,Y,N,12578,0,0
12579,FMC DAUPHIN ISLAND PKWY,2381 DAUPHIN ISLAND PARKWAY,,MOBILE,AL,36605,2514712505,Profit,Y,N,12579,30.622746,-88.082749
12580,FMC THOMASVILLE,30230 HWY 43,,THOMASVILLE,AL,36784,3346361411,Profit,Y,N,12580,31.9461274,-87.738471
12582,FMC WILCOX,229 CAMDEN BYPASS,,CAMDEN,AL,36726,3346825030,Profit,Y,N,12582,32.0034749,-87.312403
12583,BESSEMER DIALYSIS,901 WESTLAKE MALL,STE 101,BESSEMER,AL,35020,2054241848,Profit,Y,N,12583,33.394843,-86.971697
12585,ENSLEY DIALYSIS,2630 AVENUE E,,BIRMINGHAM,AL,35218,2057861371,Profit,Y,N,12585,33.5068699,-86.9018824
12588,SYLACAUGA DIALYSIS,331 JAMES PAYTON BLVD,,SYLACAUGA,AL,35150,2562494994,Profit,Y,Y,12588,33.1755551,-86.2900972
12589,BIRMINGHAM NORTH DIALYSIS,1917 32ND AVENUE NORTH,,BIRMINGHAM,AL,35207,2052979052,Profit,Y,N,12589,33.5509339,-86.8282843
12590,DCI MOULTON,1962 MAIN STREET,,MOULTON,AL,35650,2569741400,Non-Profit,Y,N,12590,34.4971915,-87.2826471
12591,FMC SHELBY,1022 FIRST STREET NORTH,SUITE 101,ALABASTER,AL,35007,2056206867,Profit,Y,N,12591,33.256531,-86.812883
12592,BIRMINGHAM CENTRAL DIALYSIS,728 RICHARD ARRINGTON BLVD S,,BIRMINGHAM,AL,35233,2052506760,Profit,Y,N,12592,33.50558,-86.7981
12593,FMC ODYSSEY DIALYSIS,40 HUGHES ROAD,,MADISON,AL,35758,2567724435,Profit,Y,N,12593,34.689604,-86.736219
12594,BOAZ DIALYSIS,16 CENTRAL HENDERSON ROAD,,BOAZ,AL,35957,2568405931,Profit,Y,N,12594,34.225944,-86.163425
12595,RGC FORT PAYNE,2202 JORDAN ROAD SW,SUITE 100,FORT PAYNE,AL,35968,2568459979,Profit,Y,Y,12595,34.4287245,-85.7601212
12596,FMC MONTGOMERY BAPTIST,1400 NARROW LANE PKWY,,MONTGOMERY,AL,36111,3342864011,Profit,Y,N,12596,32.333155,-86.283585
12597,FMC BAY MINETTE,2505 HAND AVENUE,,BAY MINETTE,AL,36507,2515804448,Profit,Y,N,12597,30.911207,-87.788033
12598,DCI PHENIX CITY,1611 21ST COURT,,PHENIX CITY,AL,36867,3344484840,Profit,Y,N,12598,32.4763334,-85.0232975
12599,FMC PORT CITY,"201 ST. JOSEPH STREET, SUITE B",,MOBILE,AL,36602,2516521025,Profit,Y,N,12599,30.695537,-88.044001
12600,ATMORE DIALYSIS CENTER,807 EAST CRAIG STREET,,ATMORE,AL,36502,2513685593,Profit,Y,N,12600,0,0
12601,FMC WEST,633 LOMB AVENUE,,BIRMINGHAM,AL,35211,2057812366,Profit,Y,N,12601,0,0
12602,RUSSELLVILLE DIALYSIS,14897 HWY 43,,RUSSELLVILLE,AL,35653,2563327044,Profit,Y,N,12602,0,0
12603,FMC FAIRFIELD,6508 E. J. OLIVER BLVD,,FAIRFIELD,AL,35064,2057805122,Profit,Y,N,12603,33.4745282,-86.9189689
12604,RCG CLANTON,275 HEALTH CENTER DRIVE,,CLANTON,AL,35045,2052804331,Profit,Y,N,12604,32.8561194,-86.6226246
12605,BIRMINGHAM HOME TRAINING DIALYSIS,2101 7TH AVENUE SOUTH,,BIRMINGHAM,AL,35233,2052415105,Profit,N,Y,12605,33.5063389,-86.797954
