Provider Number,Condition,Score
151335,Heart Attack or Chest Pain Process of Care Measures,99
41326,Surgical Care Improvement Project Process of Care Measures,100
370170,Surgical Care Improvement Project Process of Care Measures,100
240036,Surgical Care Improvement Project Process of Care Measures,95
440102,Heart Attack or Chest Pain Process of Care Measures,100
51321,Surgical Care Improvement Project Process of Care Measures,N/A
230259,Surgical Care Improvement Project Process of Care Measures,100
70033,Surgical Care Improvement Project Process of Care Measures,96
360170,Surgical Care Improvement Project Process of Care Measures,88
50159,Pneumonia Process of Care Measures,97
11300,Pneumonia Process of Care Measures,90
181314,Heart Attack or Chest Pain Process of Care Measures,N/A
50030,Heart Attack or Chest Pain Process of Care Measures,96
361320,Heart Attack or Chest Pain Process of Care Measures,N/A
340116,Heart Failure Process of Care Measures,91
50152,Heart Failure Process of Care Measures,100
190046,Heart Attack or Chest Pain Process of Care Measures,N/A
430013,Heart Failure Process of Care Measures,100
420033,Pneumonia Process of Care Measures,99
45060F,Heart Failure Process of Care Measures,99
450668,Surgical Care Improvement Project Process of Care Measures,93
360090,Heart Attack or Chest Pain Process of Care Measures,86
360354,Heart Failure Process of Care Measures,95
240075,Surgical Care Improvement Project Process of Care Measures,93
440102,Heart Attack or Chest Pain Process of Care Measures,100
161372,Heart Attack or Chest Pain Process of Care Measures,89
450754,Surgical Care Improvement Project Process of Care Measures,N/A
110183,Heart Attack or Chest Pain Process of Care Measures,98
500039,Surgical Care Improvement Project Process of Care Measures,93
50196,Surgical Care Improvement Project Process of Care Measures,89
240061,Surgical Care Improvement Project Process of Care Measures,97
140011,Pneumonia Process of Care Measures,90
360174,Heart Failure Process of Care Measures,92
50327,Surgical Care Improvement Project Process of Care Measures,95
390028,Heart Failure Process of Care Measures,99
501334,Pneumonia Process of Care Measures,N/A
451349,Heart Attack or Chest Pain Process of Care Measures,N/A
140063,Surgical Care Improvement Project Process of Care Measures,91
161368,Surgical Care Improvement Project Process of Care Measures,98
150084,Pneumonia Process of Care Measures,88
390233,Surgical Care Improvement Project Process of Care Measures,91
241352,Surgical Care Improvement Project Process of Care Measures,N/A
390173,Heart Attack or Chest Pain Process of Care Measures,100
70017,Heart Attack or Chest Pain Process of Care Measures,74
220077,Pneumonia Process of Care Measures,89
100113,Heart Failure Process of Care Measures,99
300020,Heart Attack or Chest Pain Process of Care Measures,100
330208,Heart Attack or Chest Pain Process of Care Measures,91
420067,Heart Attack or Chest Pain Process of Care Measures,83
390160,Heart Attack or Chest Pain Process of Care Measures,93
310110,Surgical Care Improvement Project Process of Care Measures,94
310016,Heart Failure Process of Care Measures,99
330115,Heart Failure Process of Care Measures,73
30089,Pneumonia Process of Care Measures,89
260022,Heart Attack or Chest Pain Process of Care Measures,192
190005,Heart Attack or Chest Pain Process of Care Measures,100
301305,Pneumonia Process of Care Measures,100
151316,Surgical Care Improvement Project Process of Care Measures,0
310064,Heart Attack or Chest Pain Process of Care Measures,67
141300,Heart Attack or Chest Pain Process of Care Measures,N/A
180011,Heart Attack or Chest Pain Process of Care Measures,98
51316,Surgical Care Improvement Project Process of Care Measures,97
50678,Surgical Care Improvement Project Process of Care Measures,80
360234,Heart Attack or Chest Pain Process of Care Measures,100
271317,Surgical Care Improvement Project Process of Care Measures,96
30105,Surgical Care Improvement Project Process of Care Measures,94
440009,Surgical Care Improvement Project Process of Care Measures,77
340096,Surgical Care Improvement Project Process of Care Measures,97
161310,Surgical Care Improvement Project Process of Care Measures,N/A
370203,Heart Attack or Chest Pain Process of Care Measures,N/A
181319,Surgical Care Improvement Project Process of Care Measures,N/A
50309,Surgical Care Improvement Project Process of Care Measures,N/A
351329,Surgical Care Improvement Project Process of Care Measures,N/A
171354,Surgical Care Improvement Project Process of Care Measures,N/A
441308,Heart Attack or Chest Pain Process of Care Measures,N/A
330043,Pneumonia Process of Care Measures,98
10015,Pneumonia Process of Care Measures,40
300019,Heart Attack or Chest Pain Process of Care Measures,181
450132,Heart Failure Process of Care Measures,96
390157,Surgical Care Improvement Project Process of Care Measures,94
460058,Heart Attack or Chest Pain Process of Care Measures,91
180079,Pneumonia Process of Care Measures,90
230241,Heart Attack or Chest Pain Process of Care Measures,100
170075,Surgical Care Improvement Project Process of Care Measures,N/A
150097,Surgical Care Improvement Project Process of Care Measures,93
140231,Heart Attack or Chest Pain Process of Care Measures,99
440120,Pneumonia Process of Care Measures,93
381302,Heart Attack or Chest Pain Process of Care Measures,N/A
190045,Surgical Care Improvement Project Process of Care Measures,97
220090,Pneumonia Process of Care Measures,95
431317,Surgical Care Improvement Project Process of Care Measures,N/A
140162,Heart Attack or Chest Pain Process of Care Measures,N/A
171367,Surgical Care Improvement Project Process of Care Measures,N/A
310017,Heart Attack or Chest Pain Process of Care Measures,99
180070,Heart Failure Process of Care Measures,100
100239,Surgical Care Improvement Project Process of Care Measures,N/A
330181,Heart Attack or Chest Pain Process of Care Measures,N/A
220033,Surgical Care Improvement Project Process of Care Measures,95
120004,Heart Attack or Chest Pain Process of Care Measures,50
151329,Surgical Care Improvement Project Process of Care Measures,98
360151,Pneumonia Process of Care Measures,100
511315,Surgical Care Improvement Project Process of Care Measures,N/A
451323,Heart Attack or Chest Pain Process of Care Measures,94
330285,Pneumonia Process of Care Measures,93
250128,Heart Attack or Chest Pain Process of Care Measures,72
100028,Surgical Care Improvement Project Process of Care Measures,N/A
100050,Surgical Care Improvement Project Process of Care Measures,65
450213,Heart Failure Process of Care Measures,100
360082,Heart Attack or Chest Pain Process of Care Measures,N/A
241366,Heart Attack or Chest Pain Process of Care Measures,N/A
450841,Surgical Care Improvement Project Process of Care Measures,78
290009,Surgical Care Improvement Project Process of Care Measures,99
360087,Pneumonia Process of Care Measures,100
511315,Pneumonia Process of Care Measures,96
161381,Pneumonia Process of Care Measures,86
370034,Surgical Care Improvement Project Process of Care Measures,N/A
180127,Surgical Care Improvement Project Process of Care Measures,100
370214,Surgical Care Improvement Project Process of Care Measures,N/A
190190,Heart Attack or Chest Pain Process of Care Measures,N/A
400004,Surgical Care Improvement Project Process of Care Measures,100
51311,Heart Attack or Chest Pain Process of Care Measures,N/A
381310,Pneumonia Process of Care Measures,50
260147,Heart Attack or Chest Pain Process of Care Measures,N/A
360035,Heart Attack or Chest Pain Process of Care Measures,100
250059,Pneumonia Process of Care Measures,83
241327,Surgical Care Improvement Project Process of Care Measures,100
150038,Surgical Care Improvement Project Process of Care Measures,N/A
310096,Surgical Care Improvement Project Process of Care Measures,98
161300,Heart Attack or Chest Pain Process of Care Measures,N/A
340129,Heart Attack or Chest Pain Process of Care Measures,100
360095,Surgical Care Improvement Project Process of Care Measures,97
341323,Surgical Care Improvement Project Process of Care Measures,N/A
260011,Heart Attack or Chest Pain Process of Care Measures,100
281310,Pneumonia Process of Care Measures,83
340151,Pneumonia Process of Care Measures,85
330088,Heart Failure Process of Care Measures,100
200039,Surgical Care Improvement Project Process of Care Measures,99
301312,Heart Attack or Chest Pain Process of Care Measures,N/A
520083,Heart Attack or Chest Pain Process of Care Measures,100
450669,Heart Attack or Chest Pain Process of Care Measures,100
390057,Heart Attack or Chest Pain Process of Care Measures,99
360058,Surgical Care Improvement Project Process of Care Measures,71
50077,Surgical Care Improvement Project Process of Care Measures,95
40041,Heart Attack or Chest Pain Process of Care Measures,100
371322,Heart Attack or Chest Pain Process of Care Measures,N/A
330191,Surgical Care Improvement Project Process of Care Measures,95
110187,Surgical Care Improvement Project Process of Care Measures,93
440152,Surgical Care Improvement Project Process of Care Measures,96
100093,Surgical Care Improvement Project Process of Care Measures,91
30037,Heart Failure Process of Care Measures,100
50735,Heart Attack or Chest Pain Process of Care Measures,N/A
440034,Surgical Care Improvement Project Process of Care Measures,100
450630,Heart Attack or Chest Pain Process of Care Measures,N/A
360027,Heart Attack or Chest Pain Process of Care Measures,N/A
440227,Surgical Care Improvement Project Process of Care Measures,98
431331,Heart Failure Process of Care Measures,58
160029,Pneumonia Process of Care Measures,86
40029,Surgical Care Improvement Project Process of Care Measures,52
450102,Heart Attack or Chest Pain Process of Care Measures,97
360354,Surgical Care Improvement Project Process of Care Measures,95
410004,Surgical Care Improvement Project Process of Care Measures,90
190251,Surgical Care Improvement Project Process of Care Measures,N/A
100287,Heart Attack or Chest Pain Process of Care Measures,98
260177,Pneumonia Process of Care Measures,98
50152,Pneumonia Process of Care Measures,92
161345,Heart Attack or Chest Pain Process of Care Measures,N/A
141302,Pneumonia Process of Care Measures,N/A
371313,Pneumonia Process of Care Measures,91
70034,Pneumonia Process of Care Measures,98
421301,Surgical Care Improvement Project Process of Care Measures,100
520071,Surgical Care Improvement Project Process of Care Measures,95
281334,Heart Attack or Chest Pain Process of Care Measures,N/A
340069,Pneumonia Process of Care Measures,99
100267,Heart Attack or Chest Pain Process of Care Measures,100
330045,Pneumonia Process of Care Measures,100
160067,Heart Attack or Chest Pain Process of Care Measures,86
100249,Heart Attack or Chest Pain Process of Care Measures,68
340171,Surgical Care Improvement Project Process of Care Measures,97
