"Provider Number","Hospital Name","Address1","Address2","Address3","City","State","ZIP Code","County Name","Phone Number","Hospital Type","Hospital Ownership","Emergency Service","GeoProviderId","Lat","Lon"
"360087","LUTHERAN HOSPITAL","1730 WEST 25TH STREET","","","CLEVELAND","OH","44113","CUYAHOGA","2166964300","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360087","41.4873888","-81.7059546"
"360089","MERCY TIFFIN HOSPITAL","45 ST LAWRENCE DRIVE","","","TIFFIN","OH","44883","SENECA","4194557000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360089","41.1144992","-83.1779746"
"36008F","CHILLICOTHE VA MEDICAL CENTER","17273 STATE ROUTE 104","","","CHILLICOTHE","OH","45601","ROSS","7407731141","ACUTE CARE - VETERANS ADMINISTRATION","Government Federal","NO","36008F","39.3891064","-83.0140595"
"360090","ST LUKE'S HOSPITAL","5901 MONCLOVA ROAD","","","MAUMEE","OH","43537","LUCAS","4198935900","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360090","41.557253","-83.681413"
"360091","MEDINA HOSPITAL","1000 EAST WASHINGTON STREET","","","MEDINA","OH","44256","MEDINA","3307255600","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360091","41.136989","-81.838725"
"360092","MEMORIAL HOSPITAL OF UNION COUNTY","500 LONDON AVENUE","","","MARYSVILLE","OH","43040","UNION","9375782289","Acute Care Hospitals","Government - Local","Yes","360092","40.229531","-83.36773"
"360096","EAST LIVERPOOL CITY HOSPITAL","425 WEST 5TH STREET","","","EAST LIVERPOOL","OH","43920","COLUMBIANA","3303857200","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360096","40.6214888","-80.5865113"
"360098","LAKE HEALTH","7590 AUBURN ROAD","","","CONCORD","OH","44077","LAKE","4409539600","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360098","41.66317","-81.246959"
"360101","HURON HOSPITAL","13951 TERRACE ROAD","","","CLEVELAND","OH","44112","CUYAHOGA","2167613300","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360101","41.525222","-81.58267"
"360107","BELLEVUE HOSPITAL","1400 WEST MAIN STREET","","","BELLEVUE","OH","44811","SANDUSKY","4194834040","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360107","41.2855269","-82.8839971"
"360109","COSHOCTON COUNTY MEMORIAL HOSPITAL","1460 ORANGE STREET","","","COSHOCTON","OH","43812","COSHOCTON","7406226411","Acute Care Hospitals","Voluntary non-profit - Private","No","360109","40.271019","-81.847994"
"360112","MERCY ST VINCENT MEDICAL CENTER","2213 CHERRY STREET","","","TOLEDO","OH","43608","LUCAS","4192513232","Acute Care Hospitals","Voluntary non-profit - Church","Yes","360112","41.6690788","-83.5423652"
"360113","MERCY FRANCISCAN HOSPITAL WESTERN HILLS","3131 QUEEN CITY AVENUE","","","CINCINNATI","OH","45238","HAMILTON","5133895915","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360113","39.135491","-84.604832"
"360115","UHHS BEDFORD MEDICAL CENTER","44 BLAINE AVENUE","","","BEDFORD","OH","44146","CUYAHOGA","4407353628","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360115","41.394958","-81.534836"
"360116","BROWN COUNTY HOSPITAL","425 HOME STREET","","","GEORGETOWN","OH","45121","BROWN","5133787500","Acute Care Hospitals","Government - Local","Yes","360116","38.8588211","-83.8979173"
"360118","MEDCENTRAL HEALTH SYSTEM","335 GLESSNER AVENUE","","","MANSFIELD","OH","44903","RICHLAND","4195268000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360118","40.752637","-82.528032"
"360121","COMMUNITY HOSPITALS AND WELLNESS CENTERS","433 WEST HIGH STREET","","","BRYAN","OH","43506","WILLIAMS","4196361131","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360121","41.4745193","-84.5570237"
"360123","ST JOHN MEDICAL CENTER","29000 CENTER RIDGE ROAD","","","WESTLAKE","OH","44145","CUYAHOGA","4408358000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360123","41.436532","-81.944514"
"360125","ASHTABULA COUNTY MEDICAL CENTER","2420 LAKE AVENUE","","","ASHTABULA","OH","44004","ASHTABULA","4409972262","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360125","41.880342","-80.795533"
"360130","AMHERST HOSPITAL","254 CLEVELAND AVENUE","","","AMHERST","OH","44001","LORAIN","4409886000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360130","41.399398","-82.224113"
"360131","ALLIANCE COMMUNITY HOSPITAL","200 EAST STATE STREET","","","ALLIANCE","OH","44601","STARK","3305967201","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360131","40.9022094","-81.1026943"
"360132","FORT HAMILTON HUGHES MEMORIAL HOSPITAL","630 EATON AVENUE","","","HAMILTON","OH","45013","BUTLER","5138672124","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360132","39.415506","-84.57263"
"360133","GRANDVIEW HOSPITAL & MEDICAL CENTER","405 GRAND AVENUE","","","DAYTON","OH","45405","MONTGOMERY","9377234988","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360133","39.7690913","-84.2032737"
"360134","GOOD SAMARITAN HOSPITAL","375 DIXMYTH AVENUE","","","CINCINNATI","OH","45220","HAMILTON","5138622601","Acute Care Hospitals","Voluntary non-profit - Church","Yes","360134","39.1400094","-84.5207292"
"360137","UNIVERSITY HOSPITALS OF CLEVELAND","11100 EUCLID AVENUE","","","CLEVELAND","OH","44106","CUYAHOGA","2168441000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360137","41.5059114","-81.6071514"
"360141","NORTHSIDE MEDICAL CENTER","500 GYPSY LANE","","","YOUNGSTOWN","OH","44501","MAHONING","3308841000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360141","41.134745","-80.657779"
"360143","MARYMOUNT HOSPITAL","12300 MCCRACKEN ROAD","","","GARFIELD HEIGHTS","OH","44125","CUYAHOGA","2165810500","Acute Care Hospitals","Voluntary non-profit - Church","Yes","360143","41.421116","-81.598084"
"360144","SOUTH POINTE HOSPITAL","20000 HARVARD ROAD","","","WARRENSVILLE HEIGHTS","OH","44122","CUYAHOGA","2164916000","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360144","41.4498434","-81.5379462"
"360145","EMH REGIONAL MEDICAL CENTER","630 EAST RIVER STREET","","","ELYRIA","OH","44035","LORAIN","4403297500","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360145","41.366491","-82.09708"
"360147","MARIETTA MEMORIAL HOSPITAL","401 MATTHEW STREET","","","MARIETTA","OH","45750","WASHINGTON","7403741400","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360147","39.4316064","-81.4647481"
"360148","JOEL POMERENE MEMORIAL HOSPITAL","981 WOOSTER ROAD","","","MILLERSBURG","OH","44654","HOLMES","3306741015","Acute Care Hospitals","Government - Local","Yes","360148","40.5652747","-81.9209919"
"360150","SUMMA WESTERN RESERVE HOSPITAL","1900 23RD STREET","","","CUYAHOGA FALLS","OH","44223","SUMMIT","3309717000","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360150","41.132008","-81.510701"
"360151","AFFINITY MEDICAL CENTER","875 EIGHTH STREET NE","","","MASSILLON","OH","44646","STARK","3308376863","Acute Care Hospitals","Proprietary","Yes","360151","40.806255","-81.5159375"
"360152","DOCTORS HOSPITAL","5100 WEST  BROAD STREET","","","COLUMBUS","OH","43228","FRANKLIN","6145441000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360152","39.953109","-83.13803"
"360153","BELMONT COMMUNITY HOSPITAL","4697 HARRISON STREET","","","BELLAIRE","OH","43906","BELMONT","7406711200","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360153","40.0289564","-80.7411233"
"360155","SOUTHWEST GENERAL HEALTH CENTER","18697 BAGLEY ROAD","","","MIDDLEBURG HEIGHTS","OH","44130","CUYAHOGA","4408168000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360155","41.370722","-81.832867"
"360156","MEMORIAL HOSPITAL","715 SOUTH TAFT AVENUE","","","FREMONT","OH","43420","SANDUSKY","4193346617","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360156","41.339127","-83.134406"
"360159","ADENA REGIONAL MEDICAL CENTER","272 HOSPITAL ROAD","","","CHILLICOTHE","OH","45601","ROSS","7407797778","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360159","39.394634","-82.9697877"
"360161","ST JOSEPH HEALTH CENTER","667 EASTLAND AVE SE","","","WARREN","OH","44481","TRUMBULL","3308414000","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360161","41.230463","-80.777492"
"360163","CHRIST HOSPITAL","2139 AUBURN AVENUE","","","CINCINNATI","OH","45219","HAMILTON","5135852771","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360163","39.121082","-84.5086463"
"360170","BERGER HOSPITAL","600 NORTH PICKAWAY STREET","","","CIRCLEVILLE","OH","43113","PICKAWAY","7404208585","Acute Care Hospitals","Government - Local","Yes","360170","39.6091512","-82.9383972"
"360172","COMMUNITY REGIONAL MEDICAL CENTER","3700 KOLBE ROAD","","","LORAIN","OH","44053","LORAIN","4409603295","Acute Care Hospitals","Voluntary non-profit - Church","Yes","360172","41.4368849","-82.237613"
"360174","UPPER VALLEY MEDICAL CENTER","3130 NORTH COUNTY ROAD 25A","","","TROY","OH","45373","MIAMI","9374407853","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360174","40.0891484","-84.2240378"
"360175","CMH REGIONAL HEALTH SYSTEM","610 WEST MAIN STREET","","","WILMINGTON","OH","45177","CLINTON","9373826611","Acute Care Hospitals","Government - Local","Yes","360175","39.4454859","-83.8383133"
"360179","BETHESDA NORTH HOSPITAL","10500 MONTGOMERY ROAD","","","CINCINNATI","OH","45242","HAMILTON","5135696141","Acute Care Hospitals","Voluntary non-profit - Church","Yes","360179","39.249446","-84.3413"
"360180","CLEVELAND CLINIC","9500 EUCLID AVENUE","","","CLEVELAND","OH","44195","CUYAHOGA","2164442200","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360180","41.502254","-81.622325"
"360185","SALEM COMMUNITY HOSPITAL","1995 EAST STATE STREET","","","SALEM","OH","44460","COLUMBIANA","3303321551","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360185","40.9009257","-80.8318133"
"360189","MADISON COUNTY HOSPITAL INC","210 NORTH MAIN STREET","","","LONDON","OH","43140","MADISON","7408457010","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360189","39.894989","-83.4545179"
"360192","UH GEAUGA MEDICAL CENTER","13207 RAVENNA RD","","","CHARDON","OH","44024","GEAUGA","4402696000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360192","41.50885","-81.190188"
"360195","SUMMA WADSWORTH-RITTMAN HOSPITAL","195 WADSWORTH ROAD","","","WADSWORTH","OH","44281","MEDINA","3303341504","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360195","41.028187","-81.752964"
"360197","MARY RUTAN HOSPITAL","205 PALMER AVENUE","","","BELLEFONTAINE","OH","43311","LOGAN","9375924015","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360197","40.3684144","-83.7570624"
"360203","SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER","1341 NORTH CLARK STREET","","","CAMBRIDGE","OH","43725","GUERNSEY","7404398111","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360203","40.041146","-81.577894"
"360210","GRADY MEMORIAL HOSPITAL","561 WEST CENTRAL AVENUE","","","DELAWARE","OH","43015","DELAWARE","7403685145","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360210","40.305623","-83.089148"
"360211","TRINITY MEDICAL CTR EAST&TRINITY MEDICAL CTR WEST","380 SUMMIT AVENUE","","","STEUBENVILLE","OH","43952","JEFFERSON","7402647212","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360211","40.3560741","-80.6250369"
"360212","LAKEWOOD HOSPITAL","14519 DETROIT AVENUE","","","LAKEWOOD","OH","44107","CUYAHOGA","2165294200","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360212","41.4847899","-81.7964889"
"360218","LICKING MEMORIAL HOSPITAL","1320 WEST MAIN STREET","","","NEWARK","OH","43055","LICKING","7403484000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360218","40.048764","-82.450288"
"360230","HILLCREST HOSPITAL","6780 MAYFIELD ROAD","","","MAYFIELD HEIGHTS","OH","44124","CUYAHOGA","4403124500","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360230","41.5201464","-81.4322121"
"360234","MERCY FRANCISCAN HOSPITAL - MT AIRY","2446 KIPLING AVENUE","","","CINCINNATI","OH","45239","HAMILTON","5138535000","Acute Care Hospitals","Voluntary non-profit - Private","No","360234","39.204626","-84.570925"
"360236","MERCY HOSPITAL CLERMONT","3000 HOSPITAL DRIVE","","","BATAVIA","OH","45103","CLERMONT","5137328278","Acute Care Hospitals","Voluntary non-profit - Church","Yes","360236","39.080232","-84.144589"
"360239","KETTERING MEDICAL CENTER - SYCAMORE","4000 MIAMISBURG-CENTERVILLE ROAD","","","MIAMISBURG","OH","45342","MONTGOMERY","9373848776","Acute Care Hospitals","Voluntary non-profit - Church","Yes","360239","39.6377752","-84.248638"
"360241","EDWIN SHAW REHABILITATION INSTITUTE","330 BROADWAY EAST","","","CUYAHOGA FALLS","OH","44221","SUMMIT","3304360910","Acute Care Hospitals","Government - Local","No","360241","41.131882","-81.477442"
"360245","GLENBEIGH","2863 STATE ROUTE 45","","","ROCK CREEK","OH","44084","ASHTABULA","4405633400","Acute Care Hospitals","Voluntary non-profit - Private","No","360245","41.67236","-80.8567809"
"360247","WOODS AT PARKSIDETHE","349 OLDE RIDENOUR ROAD","","","COLUMBUS","OH","43230","FRANKLIN","6144712552","Acute Care Hospitals","Proprietary","No","360247","40.02711","-82.881818"
"360259","BAY PARK COMMUNITY HOSPITAL","2801 BAY PARK DRIVE","","","OREGON","OH","43616","LUCAS","4196907700","Acute Care Hospitals","Voluntary non-profit - Other","Yes","360259","41.6202414","-83.48327"
"360261","THREE GABLES SURGERY CENTER LLC","5897 SR 7","","","PROCTORVILLE","OH","45669","LAWRENCE","7408869911","Acute Care Hospitals","Proprietary","No","360261","38.4392232","-82.3879569"
"360262","MERCY ST ANNE HOSPITAL","3404 SYLVANIA AVENUE","","","TOLEDO","OH","43623","LUCAS","4194072663","Acute Care Hospitals","Voluntary non-profit - Church","Yes","360262","41.69195","-83.624546"
"360263","INSTITUTE FOR ORTHOPEDIC SURGERY","801 MEDICAL DRIVE SUITE B","","","LIMA","OH","45804","ALLEN","4192247586","Acute Care Hospitals","Proprietary","No","360263","40.6967135","-84.0897883"
"360266","MOUNT CARMEL NEW ALBANY SURGICAL HOSPITAL","7333 SMITH'S MILL ROAD","","","NEW ALBANY","OH","43054","FRANKLIN","6145464533","Acute Care Hospitals","Proprietary","No","360266","40.087098","-82.792343"
"360269","BUTLER COUNTY MEDICAL CENTER","3125 HAMILTON MASON ROAD","","","HAMILTON","OH","45011","BUTLER","5138948888","Acute Care Hospitals","Proprietary","No","360269","39.3781869","-84.515013"
"360270","MERCY HOSPITAL OF DEFIANCE","1404 EAST SECOND STREET","","","DEFIANCE","OH","43512","DEFIANCE","4197828444","Acute Care Hospitals","Proprietary","Yes","360270","41.2843919","-84.33944"
"360271","UNIVERSITY POINTE SURGICAL HOSPITAL","7750 UNIVERSITY COURT","","","WEST CHESTER","OH","45069","BUTLER","5134758300","Acute Care Hospitals","Voluntary non-profit - Other","No","360271","39.36169","-84.365564"
"360274","MEDICAL CENTER AT ELIZABETH PLACE","ONE ELIZABETH PLACE","","","DAYTON","OH","45408","MONTGOMERY","9378531053","Acute Care Hospitals","Government - Federal","Yes","360274","39.7460471","-84.1996625"
"360276","ST ELIZABETH BOARDMAN HEALTH CENTER","8401 MARKET STREET","","","YOUNGSTOWN","OH","44512","MAHONING","3307292929","Acute Care Hospitals","Voluntary non-profit - Church","Yes","360276","40.994981","-80.661916"
"360347","MEDICAL CENTER OF NEWARK LLC","2000 TAMARACK ROAD","","","NEWARK","OH","43055","LICKING","7405227800","Acute Care Hospitals","Voluntary non-profit - Private","No","360347","40.0425406","-82.4647839"
"360348","DUBLIN METHODIST HOSPITAL","7500 HOSPITAL AVENUE","","","DUBLIN","OH","43016","FRANKLIN","6145448000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","360348","40.0997026","-83.1655228"
"360350","EVENDALE MEDICAL CENTER","3155 GLENDALE-MILFORD ROAD","","","CINCINNATI","OH","45241","HAMILTON","5134542222","Acute Care Hospitals","Proprietary","No","360350","39.251577","-84.420804"
"360351","CRYSTAL CLINIC ORTHOPAEDIC CENTER","444 NORTH MAIN STREET","","","AKRON","OH","44310","SUMMIT","3306684040","Acute Care Hospitals","Proprietary","No","360351","41.096976","-81.513553"
"360352","SURGICAL HOSPITAL AT SOUTHWOODS","7630 SOUTHERN BLVD","","","YOUNGSTOWN","OH","44512","MAHONING","3307581954","Acute Care Hospitals","Voluntary non-profit - Private","No","360352","41.015333","-80.655502"
"360354","WEST CHESTER MEDICAL CENTER","7700 UNIVERSITY DRIVE","","","WEST CHESTER","OH","45069","BUTLER","5132987700","Acute Care Hospitals","Voluntary non-profit - Private","No","360354","39.358299","-84.367845"
"360355","OHIO VALLEY MEDICAL CENTER LLC","100 WEST MAIN STREET","","","SPRINGFIELD","OH","45502","CLARK","9375213900","Acute Care Hospitals","Voluntary non-profit - Private","No","360355","39.9247522","-83.8123081"
"360356","PHYSICIAN'S CHOICE HOSPITAL - FREMONT LLC","2390 ENTERPRISE DRIVE","","","FREMONT","OH","43420","SANDUSKY","4194611057","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360356","41.3792683","-83.114763"
"360357","LIFE LINE HOSPITAL","200 SCHOOL STREET","","","WINTERSVILLE","OH","43953","JEFFERSON","7403462600","Acute Care Hospitals","Voluntary non-profit - Private","No","360357","40.3730112","-80.6997014"
"360358","DILEY RIDGE MEDICAL CENTER","7911 DILEY ROAD","","","CANAL WINCHESTER","OH","43110","FAIRFIELD","6148387910","Acute Care Hospitals","Voluntary non-profit - Private","Yes","360358","39.8497451","-82.7811436"
"361300","PAULDING COUNTY HOSPITAL","1035 WEST WAYNE ST.","","","PAULDING","OH","45879","PAULDING","4193994080","Critical Access Hospitals","Government - Local","Yes","361300","41.135159","-84.602251"
"361302","TWIN CITY HOSPITAL","819 NORTH FIRST STREET","","","DENNISON","OH","44621","TUSCARAWAS","7409222800","Critical Access Hospitals","Voluntary non-profit - Other","Yes","361302","40.401292","-81.335524"
"361303","LODI COMMUNITY HOSPITAL","225 ELYRIA STREET","","","LODI","OH","44254","MEDINA","3309481222","Critical Access Hospitals","Voluntary non-profit - Private","Yes","361303","41.035241","-82.014676"
"361304","GREENFIELD AREA MEDICAL CENTER","550 MIRABEAU STREET","","","GREENFIELD ","OH","45123","HIGHLAND","9379819400","Critical Access Hospitals","Voluntary non-profit - Private","Yes","361304","39.3494255","-83.3875113"
"361305","DOCTORS HOSPITAL OF NELSONVILLE","1950 MOUNT ST MARYS DRIVE","","","NELSONVILLE","OH","45764","ATHENS","7407537302","Critical Access Hospitals","Voluntary non-profit - Private","Yes","361305","39.4632721","-82.2431245"
