PROVNUM,FACNAME,PHYADDR1,PHYADDR2,PHYCITY,PHYSTATE,PHYZIP,PHONENUM,OWNTYPE,In-center Hemo,in-center PD,ref_id,Lat,Lon
182537,DSI- LOUISVILLE,635 SOUTH 3RD STREET,,LOUISVILLE,KY,40202,5025611314,Profit,Y,N,182537,38.2473472,-85.7564468
182538,EASTERN KENTUCKY DIALYSIS,167  WEDDINGTON BRANCH ROAD,,PIKEVILLE,KY,41501,6064324477,Profit,Y,N,182538,37.5280673,-82.5624969
182540,FMC - PIKEVILLE,146 ADAMS LANE,,PIKEVILLE,KY,41501,6064321707,Profit,Y,Y,182540,37.4851854,-82.5463355
182541,DCI - MAYSVILLE,1210 POPE DRIVE,,MAYSVILLE,KY,41056,6067597689,Non-Profit,Y,Y,182541,38.6400316,-83.8161593
182542,DAVITA - SOUTH HILL DIALYSIS,525 ALEXANDRIA PIKE SUITE 120,,SOUTHGATE,KY,41071,8594425539,Profit,Y,N,182542,39.0643559,-84.462525
182543,FMC - SOUTHWEST,9616 DIXIE HWY.,,VALLEY STATION,KY,40272,5029372996,Profit,Y,N,182543,38.116613,-85.8605
182544,GARDENSIDE DIALYSIS,70 N GARDENMILE ROAD,,HENDERSON,KY,42420,2708300050,Profit,Y,N,182544,37.8230753,-87.5591066
182547,DAVITA - OWENSBORO DIALYSIS CENTER,1930 EAST PARRISH AVENUE,,OWENSBORO,KY,42303,2709260120,Profit,Y,Y,182547,37.764223,-87.082697
182548,DAVITA - PAINTSVILLE DIALYSIS,4750 HIGHWAY 321 SOUTH,,HAGERHILL,KY,41222,6067891101,Profit,Y,N,182548,37.7956379,-82.8064149
182549,CHRISTIAN COUNTY DIALYSIS,200 BURLEY AVE,,HOPKINSVILLE,KY,42240,2707070701,Profit,Y,N,182549,36.8249833,-87.5062898
182550,FMC - DANVILLE,975 HUSTONVILLE RD.  SUITE #1,,DANVILLE,KY,40422,8592362214,Profit,Y,Y,182550,0,0
182551,FMC - KUTTAWA DIALYSIS,"95 LAKESHORE DR., P.O BOX 309",,KUTTAWA,KY,42055,2703880078,Profit,Y,N,182551,37.0511899,-88.1379235
182552,FMC -  DIALYSIS OF PADUCAH,"1532 LONE OAK ROAD, SUITE G15",,PADUCAH,KY,42003,2704430217,Profit,Y,Y,182552,37.0534057,-88.6471472
182553,FMC  - DIALYSIS OF MURRAY,609 SOUTH 12TH STREET,,MURRAY,KY,42071,2707593080,Profit,Y,N,182553,36.5988156,-88.3155434
