Provider Number,Condition,Score
150009,Surgical Care Improvement Project Process of Care Measures,94
200024,Surgical Care Improvement Project Process of Care Measures,96
670024,Heart Failure Process of Care Measures,89
360125,Heart Failure Process of Care Measures,100
370112,Surgical Care Improvement Project Process of Care Measures,N/A
18007F,Surgical Care Improvement Project Process of Care Measures,N/A
181311,Surgical Care Improvement Project Process of Care Measures,N/A
230133,Heart Attack or Chest Pain Process of Care Measures,8
230301,Heart Attack or Chest Pain Process of Care Measures,N/A
450755,Heart Attack or Chest Pain Process of Care Measures,N/A
371310,Surgical Care Improvement Project Process of Care Measures,N/A
130014,Surgical Care Improvement Project Process of Care Measures,N/A
180088,Surgical Care Improvement Project Process of Care Measures,100
170194,Surgical Care Improvement Project Process of Care Measures,77
390049,Pneumonia Process of Care Measures,96
100296,Pneumonia Process of Care Measures,99
521332,Surgical Care Improvement Project Process of Care Measures,N/A
351336,Pneumonia Process of Care Measures,90
490113,Heart Attack or Chest Pain Process of Care Measures,N/A
50765,Heart Attack or Chest Pain Process of Care Measures,N/A
151312,Pneumonia Process of Care Measures,57
30126,Heart Failure Process of Care Measures,76
450029,Surgical Care Improvement Project Process of Care Measures,94
340038,Surgical Care Improvement Project Process of Care Measures,100
50551,Heart Attack or Chest Pain Process of Care Measures,13
371318,Heart Attack or Chest Pain Process of Care Measures,N/A
180138,Surgical Care Improvement Project Process of Care Measures,97
251300,Pneumonia Process of Care Measures,77
45074F,Heart Failure Process of Care Measures,100
110095,Pneumonia Process of Care Measures,99
410004,Surgical Care Improvement Project Process of Care Measures,97
430084,Heart Attack or Chest Pain Process of Care Measures,N/A
100307,Pneumonia Process of Care Measures,95
160033,Heart Failure Process of Care Measures,98
520062,Pneumonia Process of Care Measures,97
360035,Heart Failure Process of Care Measures,100
30016,Pneumonia Process of Care Measures,94
450135,Heart Attack or Chest Pain Process of Care Measures,67
320060,Surgical Care Improvement Project Process of Care Measures,N/A
220174,Heart Attack or Chest Pain Process of Care Measures,100
490017,Heart Attack or Chest Pain Process of Care Measures,100
230227,Heart Attack or Chest Pain Process of Care Measures,N/A
340008,Heart Attack or Chest Pain Process of Care Measures,84
390110,Surgical Care Improvement Project Process of Care Measures,99
490084,Heart Attack or Chest Pain Process of Care Measures,N/A
241360,Pneumonia Process of Care Measures,84
260023,Surgical Care Improvement Project Process of Care Measures,86
190190,Heart Attack or Chest Pain Process of Care Measures,N/A
200021,Heart Attack or Chest Pain Process of Care Measures,80
451367,Heart Failure Process of Care Measures,N/A
320063,Heart Failure Process of Care Measures,100
521323,Surgical Care Improvement Project Process of Care Measures,N/A
531306,Heart Attack or Chest Pain Process of Care Measures,N/A
450058,Surgical Care Improvement Project Process of Care Measures,99
10103,Heart Attack or Chest Pain Process of Care Measures,100
